item_order,item_original,item,factor_order,factor,loading_mean,loading_sd,hdi_3,hdi_97
1,BMI得分,BMI,1,Strength,-0.48655669554272796,0.03754409954957892,-0.5553685760258008,-0.4130458542920037
1,BMI得分,BMI,2,Speed,-0.024005224872140133,0.038379901970693825,-0.09932058222594223,0.04462259476703272
1,BMI得分,BMI,3,Endurance,0.3085794145030633,0.04096089469633509,0.2306109529595844,0.3849880191910163
1,BMI得分,BMI,4,Flexibility,-0.00420773752714065,0.04360129340458583,-0.08479319923544143,0.07935836051173481
2,肺活量得分,Vital Capacity,1,Strength,1.5189137484331,0.11804602090788636,1.301984176830194,1.74330500592652
2,肺活量得分,Vital Capacity,2,Speed,1.4022710194382495,0.14608563457107276,1.1271098518115026,1.6828992788205441
2,肺活量得分,Vital Capacity,3,Endurance,0.13241445021646694,0.11501549808216271,-0.07908796417612438,0.35010385750644285
2,肺活量得分,Vital Capacity,4,Flexibility,-0.1421708898174769,0.15206716115039046,-0.4308409127640379,0.13398359638540494
3,50米跑得分,50 m Sprint,1,Strength,0.09699120997938415,0.08423372593590618,-0.060970651182589146,0.2538386115899653
3,50米跑得分,50 m Sprint,2,Speed,2.0566717758181428,0.14294759422231842,1.7860962878420854,2.3209013039413944
3,50米跑得分,50 m Sprint,3,Endurance,0.45081062895384805,0.08799244398260042,0.28305613343156094,0.6128014295020257
3,50米跑得分,50 m Sprint,4,Flexibility,-0.02624881911210149,0.0892081134429614,-0.1978518189090998,0.13545054061614445
4,跳绳得分,Jump Rope,1,Strength,0.39928503695204315,0.0998438375922097,0.2117996964196148,0.587538102309451
4,跳绳得分,Jump Rope,2,Speed,2.522954058951218,0.1742694134703146,2.1982857474160853,2.855854309434657
4,跳绳得分,Jump Rope,3,Endurance,0.21734582734716382,0.10051912879939591,0.026673572105080458,0.402156812486073
4,跳绳得分,Jump Rope,4,Flexibility,0.30661498073193166,0.1022409624573733,0.12063252103968337,0.5074158361437935
5,800米跑评分,800 m Run,1,Strength,0.2759555505278731,0.08847274311483642,0.10963315349270313,0.4408325942257217
5,800米跑评分,800 m Run,2,Speed,0.10817471553963409,0.09557891439675428,-0.07549595672511161,0.2804167966072785
5,800米跑评分,800 m Run,3,Endurance,2.2054008716673072,0.12872397962723503,1.9610890495513182,2.4438267823111532
5,800米跑评分,800 m Run,4,Flexibility,-0.011921161722300183,0.08785439318648491,-0.1738612290485169,0.1547787571445724
6,1000米跑评分,1000 m Run,1,Strength,0.32730238660660327,0.08660022707318743,0.16349363590421057,0.4876521426351557
6,1000米跑评分,1000 m Run,2,Speed,0.3415430282044348,0.09441623041955663,0.15707174143042524,0.5123321091456076
6,1000米跑评分,1000 m Run,3,Endurance,2.345921740477362,0.12423074336553587,2.1170638644248267,2.58228702551186
6,1000米跑评分,1000 m Run,4,Flexibility,0.2659801260141474,0.08930921814489315,0.10145209960405871,0.4355209879952975
7,50*8往返跑评分,Shuttle Run (50×8),1,Strength,0.2662362363233032,0.09640642740513485,0.07332792075438087,0.43669818486185175
7,50*8往返跑评分,Shuttle Run (50×8),2,Speed,0.333749137414476,0.09501477258194997,0.15233857682706983,0.5089034131045606
7,50*8往返跑评分,Shuttle Run (50×8),3,Endurance,1.2126304047400072,0.1846778184342163,0.8659649006515877,1.5640200744962078
7,50*8往返跑评分,Shuttle Run (50×8),4,Flexibility,0.08412429944996393,0.09552255963557418,-0.09020838489575857,0.270077536335255
8,仰卧起坐得分,Sit-ups,1,Strength,2.2571736395044706,0.11198254139319781,2.0441468980021433,2.4659320944060616
8,仰卧起坐得分,Sit-ups,2,Speed,0.260367895601365,0.0908880501114835,0.08777123381827741,0.43183895825271323
8,仰卧起坐得分,Sit-ups,3,Endurance,0.4376656227165418,0.08886573607732134,0.27251799102774993,0.6059658794516887
8,仰卧起坐得分,Sit-ups,4,Flexibility,0.3701419562631562,0.09838703055709866,0.18581249008303133,0.556512413372035
9,立定跳远评分,Standing Long Jump,1,Strength,1.6043058132320462,0.1295227027723814,1.3586692880714173,1.8514482041174098
9,立定跳远评分,Standing Long Jump,2,Speed,0.324322713900689,0.09958138469063313,0.13657400853037877,0.5098700433029124
9,立定跳远评分,Standing Long Jump,3,Endurance,0.37598795932416457,0.08822187873175438,0.21212169564261732,0.5445566467580601
9,立定跳远评分,Standing Long Jump,4,Flexibility,0.1831264246407606,0.09458992850204438,0.013885774546632123,0.36520774599247785
10,引体向上评分,Pull-ups,1,Strength,0.9870048724020456,0.18873519737300234,0.6436361450435768,1.3546217466804387
10,引体向上评分,Pull-ups,2,Speed,0.05290276728699215,0.09943187688545115,-0.1341637609013639,0.23925730041415802
10,引体向上评分,Pull-ups,3,Endurance,0.09641049399782116,0.10062165833736293,-0.09206404587783393,0.2846000785149393
10,引体向上评分,Pull-ups,4,Flexibility,0.08738687543430926,0.10030195588201862,-0.10145442706995147,0.27435041199983273
11,体前屈得分,Sit-and-Reach,1,Strength,0.6950969514767938,0.08725076661900452,0.5364153677979374,0.8669480621772232
11,体前屈得分,Sit-and-Reach,2,Speed,0.3909529769670227,0.08407780832206153,0.22958069019558033,0.5453106734288522
11,体前屈得分,Sit-and-Reach,3,Endurance,0.3862107997633408,0.08258701174123263,0.2281556074364415,0.5387736511220262
11,体前屈得分,Sit-and-Reach,4,Flexibility,1.733645741533133,0.20805535300361302,1.3582076227161235,2.110939060424918
